Geneid	Sam1	Sam2	Sam3
Pseudomonas sp. NBRC 111119	7.58e-06	0	0
Veillonella seminalis	7.61e-06	0	0
Enterobacter sp. 35666	7.62e-06	0	0
Streptococcus sp. ACS2	7.79e-06	0	0
Streptococcus sp. HSISS1	7.8e-06	0	0
Peptostreptococcaceae bacterium CCRI-22567	7.82e-06	0	0
Ralstonia pickettii	7.84e-06	0	0
Pseudomonadaceae bacterium E5571	7.97e-06	0	0
Chryseobacterium indologenes	8.15e-06	0	0
Bifidobacterium catenulatum	8.25e-06	0	0
Brevibacterium massiliense	8.29e-06	0	0
Porphyromonas sp. oral taxon 278	8.34e-06	0	0
Actinomyces sp. oral taxon 172	8.36e-06	0	0
Orgyia pseudotsugata multiple nucleopolyhedrovirus	8.37e-06	0	0
Johnsonella ignava	8.38e-06	0	0
Acidovorax ebreus	8.44e-06	0	0
Pseudomonas sp. Eur1 9.41	8.49e-06	0	0
Lactobacillus salivarius	8.56e-06	0	0
Sphingobium sp. ba1	8.58e-06	0	0
Ruminococcus gauvreauii	8.68e-06	0	0
Comamonas testosteroni	8.92e-06	0	0
Streptococcus sp. CCH8-H5	8.94e-06	0	0
Castellaniella caeni	9.01e-06	0	0
Enterobacter sp. BIDMC87	9.05e-06	0	0
Roseburia sp. CAG:471	9.15e-06	0	0
Vibrio hepatarius	9.17e-06	0	0
Methyloversatilis discipulorum	9.26e-06	0	0
Herbaspirillum chlorophenolicum	9.29e-06	0	0
Corynebacterium urealyticum	9.32e-06	0	0
Streptomyces sp. Root55	9.36e-06	0	0
Aeromonas salmonicida	9.36e-06	0	0
Staphylococcus aureus	9.41e-06	0	0
Acinetobacter gandensis	9.44e-06	0	0
Lachnospiraceae bacterium oral taxon 500	9.44e-06	0	0
candidate division TM7 single-cell isolate TM7a	9.45e-06	0	0
Idiomarina abyssalis	9.48e-06	0	0
Enterobacteria phage 933W sensu lato	9.53e-06	0	0
Alcaligenes faecalis	9.62e-06	0	0
Streptococcus agalactiae	9.63e-06	0	0
Clostridium sp. CAG:417	9.7e-06	0	0
Citrobacter sp. BIDMC107	9.72e-06	0	0
Acinetobacter sp. BMW17	9.85e-06	0	0
Blautia schinkii	9.93e-06	0	0
Stenotrophomonas maltophilia	9.98e-06	0	0
Acinetobacter sp. PT1	1.01e-05	0	0
Myroides injenensis	1.01e-05	0	0
Enterobacter sp. BIDMC100	1.01e-05	0	0
Clostridium sp. SY8519	1.01e-05	0	0
Ilyobacter polytropus	1.02e-05	0	0
Beggiatoa sp. SS	1.02e-05	0	0
Pseudomonas putida	1.05e-05	0	0
Pantoea sp. 3.5.1	1.05e-05	0	0
Pantoea sp. PSNIH1	1.06e-05	0	0
Sphingobacterium sp. PM2-P1-29	1.09e-05	0	0
Clostridium sp. CAG:269	1.1e-05	0	0
Clostridium sp. CAG:470	0	0	1.1e-05
Corynebacterium sp. JZ16	1.11e-05	0	0
Firmicutes bacterium CAG:321	1.11e-05	0	0
Burkholderiales bacterium YL45	0	0	1.11e-05
Enterobacter sp. GN02534	1.12e-05	0	0
Enterobacter sp. 35730	1.12e-05	0	0
Clostridium sp. 1_1_41A1FAA	0	0	1.12e-05
Coriobacteriaceae bacterium CHKCI002	1.13e-05	0	0
Bifidobacterium breve	1.14e-05	0	0
Streptomyces sp. NBRC 109436	1.14e-05	0	0
Acinetobacter pittii	1.15e-05	0	0
Trabulsiella odontotermitis	1.15e-05	0	0
Oribacterium parvum	1.16e-05	0	0
Raoultella planticola	1.16e-05	0	0
Eikenella corrodens	0	0	1.16e-05
Parabacteroides sp. YL27	1.17e-05	0	0
Bifidobacterium adolescentis CAG:119	1.17e-05	0	0
Parasitella parasitica	1.18e-05	0	0
Bacteroides pyogenes	1.23e-05	0	0
Aeromonas sp. ZOR0002	1.23e-05	0	0
Ralstonia mannitolilytica	1.26e-05	0	0
uncultured Megasphaera sp.	1.27e-05	0	0
Kluyvera cryocrescens	1.28e-05	0	0
Enterococcus raffinosus	1.33e-05	0	0
Franconibacter helveticus	1.37e-05	0	0
Acinetobacter schindleri	1.4e-05	0	0
Lactobacillus gasseri	1.42e-05	0	0
Raphidiopsis brookii	1.43e-05	0	0
Pseudomonas abietaniphila	1.44e-05	0	0
Clostridium sp. CAG:780	0	0	1.45e-05
Stomatobaculum longum	1.46e-05	0	0
Pyronema omphalodes	1.47e-05	0	0
Bacillus sp. 916	1.47e-05	0	0
Eubacteriaceae bacterium CHKCI005	1.49e-05	0	0
Oxalobacter formigenes	1.49e-05	0	0
Pedobacter panaciterrae	1.53e-05	0	0
Alistipes sp. CAG:831	1.54e-05	0	0
Prevotella saccharolytica	0	0	1.58e-05
Enterobacter sp. MGH 1	1.59e-05	0	0
Diplodia seriata	1.59e-05	0	0
Enterobacter sp. BWH63	1.6e-05	0	0
Enterobacter sp. MGH 6	1.61e-05	0	0
Acinetobacter towneri	1.61e-05	0	0
Acinetobacter lwoffii	1.64e-05	0	0
Citrobacter sp. MGH100	1.65e-05	0	0
Megasphaera sp. MJR9396C	1.68e-05	0	0
Enterobacter sp. BIDMC 28	1.69e-05	0	0
Pantoea sp. PSNIH2	1.69e-05	0	0
Lelliottia amnigena	1.69e-05	0	0
Anaerotruncus sp. G3(2012)	1.72e-05	0	0
Phaeomoniella chlamydospora	1.75e-05	0	0
Acinetobacter venetianus	1.76e-05	0	0
Alloprevotella tannerae	1.76e-05	0	0
Campylobacter coli	1.77e-05	0	0
Streptococcus equi	1.78e-05	0	0
Firmicutes bacterium CAG:424	1.79e-05	0	0
Enterobacter sp. BIDMC110	1.8e-05	0	0
Porphyromonadaceae bacterium GM3	0	0	1.82e-05
Klebsiella michiganensis	1.83e-05	0	0
Streptococcus infantarius	1.83e-05	0	0
Clostridium phage phiCDHM13	1.83e-05	0	0
Aeromonas caviae	1.84e-05	0	0
[Clostridium] methylpentosum	1.84e-05	0	0
Tannerella forsythia	0	0	1.85e-05
Clostridium phage vB_CpeS-CP51	0	0	1.85e-05
Megasphaera genomosp. type_1	1.87e-05	0	0
Clostridium phage phiCD481-1	1.87e-05	0	0
Mitsuokella multacida	0	0	1.91e-05
Clostridium phage phiCDHM11	1.92e-05	0	0
Providencia stuartii	1.94e-05	0	0
Prevotella maculosa	0	0	1.95e-05
Bifidobacterium magnum	1.96e-05	0	0
Megamonas funiformis CAG:377	1.99e-05	0	0
Eubacterium desmolans	0	0	2.01e-05
Propionibacterium sp. DORA_15	2.05e-05	0	0
Clostridiaceae bacterium GM1	2.07e-05	0	0
Allobaculum stercoricanis	2.08e-05	0	0
Magnaporthe oryzae	2.09e-05	0	0
Clostridium bartlettii CAG:1329	0	0	2.11e-05
Lactobacillus amylophilus	2.12e-05	0	0
Bacteroides sp. CAG:770	0	0	2.14e-05
Dialister micraerophilus	2.17e-05	0	0
Citrobacter amalonaticus	2.17e-05	0	0
Citrobacter sp. MGH 55	2.18e-05	0	0
Ruminococcus sp. CAG:579	0	0	2.19e-05
Bifidobacterium pullorum	2.22e-05	0	0
Bacteroides graminisolvens	2.23e-05	0	0
Penicillium brasilianum	2.25e-05	0	0
Bifidobacterium gallinarum	2.28e-05	0	0
Clostridium sp. CAG:122	0	0	2.33e-05
Comamonadaceae bacterium CCH4-C5	2.37e-05	0	0
Enterococcus sp. HSIEG1	2.38e-05	0	0
Bifidobacterium saeculare	2.41e-05	0	0
Enterobacteria phage HK97	0	0	2.43e-05
Enterobacter sp. 42202	2.44e-05	0	0
Acetobacter malorum	2.45e-05	0	0
Anaerostipes caccae	2.47e-05	0	0
Firmicutes bacterium CAG:41	0	0	2.47e-05
Eubacterium limosum	2.49e-05	0	0
Prevotella sp. MSX73	0	0	2.49e-05
Cronobacter malonaticus	2.56e-05	0	0
Clostridiales bacterium CHKCI006	2.57e-05	0	0
Enterobacteria phage mEp043 c-1	0	0	2.57e-05
Ruminococcus sp. DSM 100440	1.14e-05	0	1.44e-05
Clostridium sp. CL-2	0	0	2.68e-05
Enterobacter sp. MGH 3	2.71e-05	0	0
Bradyrhizobium sp. OHSU_III	2.73e-05	0	0
Methanosarcina mazei	2.76e-05	0	0
Prevotella dentalis	0	0	2.8e-05
Eubacteriaceae bacterium CHKCI004	1.74e-05	0	1.11e-05
Citrobacter sp. A1	2.85e-05	0	0
Enterobacter kobei	2.86e-05	0	0
Citrobacter sp. L17	2.86e-05	0	0
Megamonas hypermegale	2.88e-05	0	0
Bacteroidales bacterium Bact_03	0	0	2.9e-05
Enterobacteria phage HK633	0	0	2.91e-05
Megasphaera elsdenii	2.93e-05	0	0
Enterococcus phage vB_IME197	2.98e-05	0	0
Cupriavidus metallidurans	2.99e-05	0	0
Bacteroidales bacterium Barb4	0	0	3.01e-05
Bacteroidetes bacterium oral taxon 272	0	3.04e-05	0
Enterobacter sp. GN02315	0	3.04e-05	0
Propionimicrobium sp. BV2F7	0	3.04e-05	0
Ceraceosorus bombacis	3.09e-05	0	0
Weissella confusa	0	3.09e-05	0
Clostridium sp. CAG:352	0	3.09e-05	0
Streptococcus pyogenes	1.29e-05	0	1.81e-05
Klebsiella sp. 1_1_55	0	3.11e-05	0
Firmicutes bacterium CAG:137	3.13e-05	0	0
Hallella seregens	0	0	3.13e-05
Prevotella sp. CAG:891	0	0	3.16e-05
Prevotella sp. CAG:474	0	0	3.17e-05
Parvimonas micra	8.78e-06	0	2.31e-05
Zygosaccharomyces bailii	3.2e-05	0	0
Enterobacter sp. 50858885	3.21e-05	0	0
Rhizopus microsporus	3.22e-05	0	0
Azospira oryzae	0	3.24e-05	0
Enterococcus saccharolyticus	3.25e-05	0	0
Methanosarcinales archaeon Methan_04	3.25e-05	0	0
Pasteurella multocida	3.26e-05	0	0
Citrobacter sp. MGH109	3.29e-05	0	0
Bacteroides coprophilus CAG:333	3.31e-05	0	0
Candida tropicalis	0	3.31e-05	0
Ganoderma lucidum	0	3.32e-05	0
Enterobacter sp. MGH 15	3.34e-05	0	0
Acinetobacter junii	0	3.34e-05	0
Clostridium sp. CAG:440	0	0	3.37e-05
Ruminococcus sp. AT12	3.42e-05	0	0
Clostridium sp. CAG:62	0	3.42e-05	0
Prevotella sp. ICM33	0	0	3.42e-05
Methanosaeta concilii	3.45e-05	0	0
Enterobacter sp. MGH 7	1.03e-05	0	2.44e-05
Streptococcus sp. DORA_10	0	3.47e-05	0
Clostridiales bacterium VE202-08	0	0	3.47e-05
Klebsiella sp. D5A	0	3.48e-05	0
Chryseobacterium gallinarum	3.53e-05	0	0
Varibaculum cambriense	0	3.53e-05	0
Haemophilus sputorum	3.54e-05	0	0
Clostridia bacterium UC5.1-2E1	1.8e-05	0	1.75e-05
Klebsiella variicola CAG:634	0	3.55e-05	0
Bacteroides sp. CAG:598	0	3.57e-05	0
Campylobacter showae	0	3.57e-05	0
Campylobacter curvus	0	3.58e-05	0
Bacteroidales bacterium TBC1	3.6e-05	0	0
Clostridium sp. CAG:221	0	0	3.62e-05
Enterococcus cecorum	1.91e-05	0	1.72e-05
Kiloniella litopenaei	3.63e-05	0	0
Clostridium sp. CAG:245	0	3.63e-05	0
Campylobacter ureolyticus	0	3.68e-05	0
Propionimicrobium lymphophilum	0	3.68e-05	0
Providencia rettgeri	3.69e-05	0	0
Prevotella sp. SN19	0	0	3.7e-05
Kluyvera intermedia	3.73e-05	0	0
Bifidobacterium pseudolongum	0	3.75e-05	0
Enterobacter sp. MGH 14	3.82e-05	0	0
Ureaplasma parvum	0	3.84e-05	0
Streptococcus sp. 449_SSPC	1.83e-05	0	2.07e-05
Staphylococcus epidermidis	0	3.98e-05	0
Yersinia pestis	4.01e-05	0	0
Dorea sp. CAG:105	0	4.02e-05	0
Enterobacter hormaechei	0	4.04e-05	0
Plesiomonas shigelloides	4.05e-05	0	0
Streptococcus infantis	0	4.06e-05	0
Thauera selenatis	4.1e-05	0	0
Prevotella sp. CAG:487	1.94e-05	0	2.19e-05
Bacteroides sp. CAG:714	0	4.18e-05	0
Coprobacillus sp. 29_1	8.86e-06	3.3e-05	0
Citrobacter sp. MGH110	0	4.22e-05	0
Lactobacillus pontis	0	4.23e-05	0
Clostridium sp. IODB-O3	0	4.24e-05	0
Alistipes sp. CAG:435	0	4.26e-05	0
Eubacterium sp. ER2	2.07e-05	0	2.21e-05
Lachnospiraceae bacterium VE202-12	3.11e-05	0	1.18e-05
Bacteroides sp. CAG:1076	0	4.29e-05	0
Mannheimia haemolytica	4.32e-05	0	0
Escherichia sp. KTE11	4.32e-05	0	0
Clostridiales bacterium VE202-14	0	3.04e-05	1.28e-05
Enterobacter xiangfangensis	0	4.33e-05	0
Prevotella sp. BV3P1	0	4.36e-05	0
Pseudomonas helleri	4.39e-05	0	0
Adlercreutzia equolifaciens	0	4.39e-05	0
Prevotella falsenii	0	0	4.39e-05
Burkholderia sp. JGI 0001021-E08	4.41e-05	0	0
Raoultella ornithinolytica	0	4.49e-05	0
Eubacterium sp. CAG:251	0	4.62e-05	0
Enterobacter sp. K66-74	1.12e-05	3.51e-05	0
Christensenella minuta	2.23e-05	0	2.41e-05
Kingella kingae	4.71e-05	0	0
Firmicutes bacterium CAG:313	0	4.73e-05	0
Enterobacter cloacae	1.3e-05	3.45e-05	0
Prevotella buccae	0	0	4.75e-05
Aeromonas allosaccharophila	9.11e-06	3.84e-05	0
Human herpesvirus 5	1.04e-05	3.74e-05	0
Sphingomonas sp. Ant H11	0	4.85e-05	0
Bifidobacterium adolescentis	4.86e-05	0	0
Sutterella sp. CAG:351	0	0	4.87e-05
Coprobacillus sp. D6	8.85e-06	4.01e-05	0
Actinomyces turicensis	0	4.93e-05	0
Peptoniphilus harei	1.33e-05	3.61e-05	0
Bifidobacterium kashiwanohense	0	4.95e-05	0
Citrobacter sp. 30_2	0	4.95e-05	0
uncultured bacterium	4.96e-05	0	0
Escherichia phage HK639	4.96e-05	0	0
Roseburia sp. CAG:182	0	4.97e-05	0
Ruminococcus sp. CAG:382	0	4.98e-05	0
Eggerthella sp. CAG:1427	0	0	4.99e-05
Catabacter hongkongensis	5.03e-05	0	0
Treponema pedis	5.06e-05	0	0
Bacteroidales bacterium Bact_01	5.06e-05	0	0
Gordonibacter pamelaeae	0	5.09e-05	0
Enterobacter aerogenes	9.73e-06	3.02e-05	1.15e-05
Streptococcus sp. I-G2	0	5.18e-05	0
Lachnospiraceae bacterium VE202-23	3.88e-05	0	1.31e-05
Aeromonas dhakensis	5.21e-05	0	0
Porphyromonas sp. CAG:1061	0	5.21e-05	0
Prevotella bergensis	1.09e-05	4.14e-05	0
Porphyromonadaceae bacterium H1	0	3.18e-05	2.05e-05
Chryseobacterium greenlandense	5.27e-05	0	0
Marvinbryantia formatexigens	3.68e-05	0	1.6e-05
Bacteroidales bacterium M9	4.22e-05	0	1.07e-05
Actinobacillus minor	5.31e-05	0	0
Acinetobacter baumannii	5.31e-05	0	0
Lachnoanaerobaculum sp. MSX33	0	0	5.32e-05
Aggregatibacter segnis	0	3.08e-05	2.28e-05
Streptococcus sp. CCUG 49591	0	5.37e-05	0
Citrobacter sp. MGH105	0	5.39e-05	0
Mycobacterium gastri	5.42e-05	0	0
Enterobacter sp. MGH119	2.28e-05	3.16e-05	0
Ruminococcus sp. CAG:90	0	3.99e-05	1.46e-05
Lactobacillus amylovorus	0	5.46e-05	0
Sanguibacteroides justesenii	0	5.5e-05	0
Enterobacter sp. 940_PEND	0	5.51e-05	0
Acinetobacter johnsonii	5.53e-05	0	0
Lachnospiraceae bacterium 3_1_57FAA_CT1	4.17e-05	0	1.37e-05
[Clostridium] saccharogumia	0	4.02e-05	1.52e-05
Streptomyces turgidiscabies	1.3e-05	4.27e-05	0
Candida parapsilosis	5.57e-05	0	0
Klebsiella phage F19	5.62e-05	0	0
Clostridiales bacterium VE202-29	4.24e-05	0	1.39e-05
Thermotogales bacterium Thermo_02	4.22e-05	0	1.42e-05
Cronobacter sakazakii	5.68e-05	0	0
Burkholderia sp. JGI 0001005-I06	5.73e-05	0	0
Saitoella complicata	5.74e-05	0	0
Tannerella sp. CAG:118	0	0	5.78e-05
Nocardioides sp. JGI 0001009-J09	5.81e-05	0	0
Klebsiella sp. 10982	0	5.86e-05	0
Streptococcus parasanguinis	0	4.25e-05	1.64e-05
Clostridia bacterium UC5.1-1D10	0	5.9e-05	0
Parabacteroides sp. HGS0025	2.52e-05	3.4e-05	0
Roseburia sp. CAG:100	0	5.97e-05	0
Campylobacter sp. 10_1_50	0	5.98e-05	0
Bacteroidales bacterium KA00251	0	3.57e-05	2.42e-05
Lachnospiraceae bacterium CAG:215	0	4.76e-05	1.26e-05
Roseburia sp. CAG:50	0	6.02e-05	0
Bacteroides propionicifaciens	6.05e-05	0	0
Lactobacillus mucosae	8.2e-06	5.29e-05	0
Enterobacteria phage SfV	2.81e-05	0	3.3e-05
Staphylococcus phage SPbeta-like	9.85e-06	3.48e-05	1.67e-05
Haemophilus influenzae	3.9e-05	0	2.26e-05
Roseburia sp. CAG:380	0	6.17e-05	0
Prevotella sp. HUN102	0	0	6.21e-05
Citrobacter rodentium	6.24e-05	0	0
Lachnospiraceae bacterium 5_1_57FAA	0	4.68e-05	1.56e-05
Peptostreptococcus anaerobius	0	6.24e-05	0
Veillonella atypica	0	6.25e-05	0
Prevotella sp. CAG:255	6.35e-05	0	0
butyrate-producing bacterium SM4/1	1.25e-05	5.13e-05	0
Butyrivibrio crossotus CAG:259	0	6.38e-05	0
Cystobacter fuscus	6.44e-05	0	0
Citrobacter sp. MGH99	6.46e-05	0	0
Subdoligranulum variabile	1.22e-05	3.2e-05	2.11e-05
Sphingomonas paucimobilis	1.56e-05	5.01e-05	0
Escherichia sp. KTE96	6.61e-05	0	0
Campylobacter jejuni	1.03e-05	3.77e-05	1.9e-05
Clostridium sp. 7_2_43FAA	0	6.74e-05	0
Bacteroides sp. CAG:661	0	6.76e-05	0
Clostridium sp. CAG:58	1.9e-05	4.94e-05	0
Streptococcus sp. SR4	1.07e-05	3.92e-05	1.9e-05
Malassezia globosa	1.92e-05	4.97e-05	0
Chondromyces apiculatus	6.89e-05	0	0
Clostridia bacterium UC5.1-1A9	0	6.89e-05	0
Clostridium sp. CAG:149	0	6.94e-05	0
Klebsiella sp. OBRC7	0	6.97e-05	0
Terrisporobacter othiniensis	0	0	7e-05
Rhodococcus wratislaviensis	7.09e-05	0	0
Streptococcus pneumoniae	0	5.69e-05	1.41e-05
Streptococcus vestibularis	9.93e-06	6.15e-05	0
Escherichia sp. KTE52	7.15e-05	0	0
Dorea sp. CAG:317	0	7.18e-05	0
Enterobacteria phage BP-4795	7.22e-05	0	0
Dysgonomonas capnocytophagoides	0	7.25e-05	0
Christensenella sp. Marseille-P2437	1.75e-05	4.35e-05	1.24e-05
Enterobacter sp. 35699	1.78e-05	5.56e-05	0
Escherichia marmotae	7.34e-05	0	0
Butyrivibrio crossotus	0	7.4e-05	0
Rhizophagus irregularis	1.2e-05	6.22e-05	0
Clostridiales bacterium VE202-21	1.09e-05	4.37e-05	1.99e-05
Acidaminococcus sp. BV3L6	2.61e-05	4.95e-05	0
Enterobacter sp. GN02616	7.66e-05	0	0
Enterobacteria phage HK446	0	0	7.77e-05
Enterobacter sp. 42324	7.83e-05	0	0
Stx2-converting phage 1717	7.9e-05	0	0
Prevotella nanceiensis	8.69e-06	3.87e-05	3.17e-05
Veillonella sp. DORA_B_18_19_23	0	8.14e-05	0
Epichloe festucae	1.01e-05	7.14e-05	0
Ruminococcus sp. CAG:488	0	8.19e-05	0
Ruminococcus sp. CAG:254	0	8.24e-05	0
Escherichia sp. TW14182	4.67e-05	3.59e-05	0
Coprobacillus sp. CAG:183	1.76e-05	6.51e-05	0
Salmonella phage FSL SP-004	0	0	8.32e-05
Acidibacillus ferrooxidans	0	8.39e-05	0
Clostridiales bacterium VE202-28	1.57e-05	3.77e-05	3.07e-05
Pseudomonas sp. 1-7	1.95e-05	6.5e-05	0
Megasphaera sp. NM10	1.15e-05	7.31e-05	0
Citrobacter sp. JT3	2.93e-05	3.31e-05	2.22e-05
Bifidobacterium dentium	3.96e-05	4.5e-05	0
Clostridia bacterium UC5.1-2H6	2.19e-05	6.27e-05	0
Bacteroidales bacterium KA00344	7.67e-06	4.62e-05	3.09e-05
Enterobacter sp. MGH 10	8.48e-05	0	0
Edwardsiella tarda	8.51e-05	0	0
Acidaminococcus intestini CAG:325	1.98e-05	6.59e-05	0
Ornithobacterium rhinotracheale	2.4e-05	5e-05	1.19e-05
Streptomyces albulus	8.6e-05	0	0
Atopobium deltae	0	8.61e-05	0
Clostridium sp. JCC	0	0	8.61e-05
Coprococcus eutactus	0	6.33e-05	2.34e-05
Burkholderia sp. AU4i	8.67e-05	0	0
Clostridiales bacterium 1_7_47FAA	1.43e-05	4.14e-05	3.13e-05
Streptococcus salivarius CAG:79	1.33e-05	5.59e-05	1.8e-05
Erysipelotrichaceae bacterium I46	2.78e-05	5.96e-05	0
Clostridiales bacterium VE202-26	8.17e-06	7.99e-05	0
Bacteroides sp. CAG:927	4.98e-05	3.87e-05	0
Clostridium butyricum	0	8.91e-05	0
Acidaminococcus sp. HPA0509	2.1e-05	6.94e-05	0
Amycolatopsis lurida	9.04e-05	0	0
Megasphaera sp. BL7	1.24e-05	7.86e-05	0
Clostridium sp. CAG:349	1.34e-05	7.78e-05	0
Streptococcus sp. I-P16	9.13e-06	8.23e-05	0
Prevotella scopos	0	5.65e-05	3.5e-05
Xylanimonas cellulosilytica	0	9.16e-05	0
Enterococcus gallinarum	9.19e-05	0	0
Bacteroides sp. CAG:462	7.07e-05	0	2.14e-05
Clavibacter cf. michiganensis LMG 26808	9.31e-05	0	0
Blautia hydrogenotrophica	0	0	9.32e-05
Enterobacter sp. T1-1	9.49e-05	0	0
Lachnospiraceae bacterium 1_4_56FAA	1.38e-05	6.85e-05	1.31e-05
Odoribacter laneus	4.71e-05	4.94e-05	0
Citrobacter koseri	1.54e-05	5.51e-05	2.61e-05
Enterococcus casseliflavus	0	9.76e-05	0
Clostridiales bacterium VE202-18	2.41e-05	7.48e-05	0
Sutterella sp. CAG:521	9.95e-05	0	0
Coprobacillus sp. D7	2.54e-05	7.51e-05	0
Coprobacillus sp. 3_3_56FAA	2.39e-05	7.72e-05	0
Enterobacter sp. SENG-6	0.00010131	0	0
Citrobacter sp. KTE32	1.48e-05	8.71e-05	0
Streptomyces leeuwenhoekii	0.000102545	0	0
Enterobacter cloacae complex 'Hoffmann cluster III'	0.000102643	0	0
Streptococcus mitis	8.04e-06	9.49e-05	0
Porphyromonadaceae bacterium KA00676	4.6e-05	0	5.7e-05
Aeromonas sp. 159	0	0.000103303	0
Prevotella sp. CAG:924	0	4.27e-05	6.12e-05
Mesorhizobium sp. L48C026A00	0.000103947	0	0
Intestinimonas sp. GD2	3.89e-05	3.26e-05	3.3e-05
Streptomyces vinaceus	0	0.000104522	0
Citrobacter sp. BIDMC108	4.01e-05	6.47e-05	0
Lachnoanaerobaculum sp. OBRC5-5	0	3.36e-05	7.12e-05
Bifidobacterium sp. 12_1_47BFAA	1.14e-05	9.45e-05	0
Bifidobacterium longum CAG:69	1.2e-05	9.43e-05	0
Vibrio cholerae	0.00010639	0	0
Prevotella histicola	1.2e-05	5.99e-05	3.46e-05
Enterobacter sp. 50793107	0.000106519	0	0
Clostridiales bacterium VE202-06	9.86e-06	7.61e-05	2.11e-05
Acidaminococcus sp. D21	2.12e-05	8.6e-05	0
Mesorhizobium sp. ORS3359	0.000107339	0	0
Fusobacterium sp. CM22	0	0.000107446	0
Shinella sp. DD12	0.000107835	0	0
